season,team,conference,offense_passingPlays_explosiveness,offense_passingPlays_successRate,offense_passingPlays_totalPPA,offense_passingPlays_ppa,offense_passingPlays_rate,offense_rushingPlays_explosiveness,offense_rushingPlays_successRate,offense_rushingPlays_totalPPA,offense_rushingPlays_ppa,offense_rushingPlays_rate,offense_passingDowns_explosiveness,offense_passingDowns_successRate,offense_passingDowns_ppa,offense_passingDowns_rate,offense_standardDowns_explosiveness,offense_standardDowns_successRate,offense_standardDowns_ppa,offense_standardDowns_rate,offense_havoc_db,offense_havoc_frontSeven,offense_havoc_total,offense_fieldPosition_averagePredictedPoints,offense_fieldPosition_averageStart,offense_pointsPerOpportunity,offense_totalOpportunies,offense_openFieldYardsTotal,offense_openFieldYards,offense_secondLevelYardsTotal,offense_secondLevelYards,offense_lineYardsTotal,offense_lineYards,offense_stuffRate,offense_powerSuccess,offense_explosiveness,offense_successRate,offense_totalPPA,offense_ppa,offense_drives,offense_plays,defense_passingPlays_explosiveness,defense_passingPlays_successRate,defense_passingPlays_totalPPA,defense_passingPlays_ppa,defense_passingPlays_rate,defense_rushingPlays_explosiveness,defense_rushingPlays_successRate,defense_rushingPlays_totalPPA,defense_rushingPlays_ppa,defense_rushingPlays_rate,defense_passingDowns_explosiveness,defense_passingDowns_successRate,defense_passingDowns_totalPPA,defense_passingDowns_ppa,defense_passingDowns_rate,defense_standardDowns_explosiveness,defense_standardDowns_successRate,defense_standardDowns_ppa,defense_standardDowns_rate,defense_havoc_db,defense_havoc_frontSeven,defense_havoc_total,defense_fieldPosition_averagePredictedPoints,defense_fieldPosition_averageStart,defense_pointsPerOpportunity,defense_totalOpportunies,defense_openFieldYardsTotal,defense_openFieldYards,defense_secondLevelYardsTotal,defense_secondLevelYards,defense_lineYardsTotal,defense_lineYards,defense_stuffRate,defense_powerSuccess,defense_explosiveness,defense_successRate,defense_totalPPA,defense_ppa,defense_drives,defense_plays
2006,Air Force,Mountain West,1.469546270614808,0.3782051282051282,11.44367063423561,0.07335686303997187,0.19923371647509577,0.7466835159923858,0.4327390599675851,45.83015935881445,0.07427902651347561,0.7879948914431673,1.2831426439544211,0.3317757009345794,0.17934962401899482,0.27330779054916987,0.7180457723703899,0.46572934973637964,0.02497458544053028,0.7266922094508301,0.005108556832694764,0,0.005108556832694764,1.304,71.3,-0.31343283582089554,67,267,0.4327390599675851,512,0.8298217179902755,1970,3.1928687196110213,0.14100486223662884,0.7794117647058824,0.8374561232110632,0.42911877394636017,52.59135865572662,0.06716648615035328,116,783,1.2353952671656738,0.49508196721311476,83.97872574214738,0.2753400844004832,0.4401154401154401,0.6372466607253701,0.5079365079365079,23.902033778258712,0.06323289359327702,0.5454545454545454,1.4686613176038397,0.391304347826087,83.97872574214738,0.3257369871330735,0.26551226551226553,0.7109871088087103,0.5520628683693517,0.08758369770011161,0.7344877344877345,0.012987012987012988,0.0,0.012987012987012988,-1.296,72.0,-0.1,70,0,0.5529100529100529,416,1.1005291005291005,1218,3.2224867724867723,0.164021164021164,0.7837837837837838,0.8655268907725894,0.5093795093795094,104.51570776184232,0.15081631711665558,112,693
2006,Akron,Mid-American,1.3355980505661933,0.34760705289672544,25.903772879702185,0.06524879818564781,0.552924791086351,0.7532408153749289,0.37142857142857144,-16.93118956194773,-0.0537498081331674,0.4387186629526462,1.6288361035480994,0.25461254612546125,0.13399762492835623,0.3774373259052925,0.8265064257698631,0.4272930648769575,-0.069977578933346,0.6225626740947076,0.013927576601671309,0,0.013927576601671309,1.447,70.0,-0.11290322580645161,62,176,0.5587301587301587,345,1.0952380952380951,772,2.451111111111111,0.28253968253968254,0.6585365853658537,1.0394323787187028,0.362116991643454,5.033378572378881,0.007010276563201784,145,718,1.408496305787338,0.3573487031700288,39.56005231453341,0.11400591445110492,0.43159203980099503,0.7570237093432338,0.34080717488789236,-55.037219972851574,-0.12340183850415151,0.554726368159204,1.5820751705903262,0.2912280701754386,39.56005231453341,0.1805159583986783,0.35447761194029853,0.7595150117885521,0.3930635838150289,-0.13563017336393304,0.6455223880597015,0.008706467661691543,0.0,0.008706467661691543,-1.735,65.8,-0.09090909090909091,77,0,0.6345291479820628,396,0.8878923766816144,1089,2.4417040358744395,0.2645739910313901,0.5555555555555556,0.9973982632887167,0.35696517412935325,-18.945011832257933,-0.023563447552559617,144,804
2006,Alabama,SEC,1.1524033926174606,0.40897097625329815,44.53056754108375,0.11749490116380937,0.49029754204398446,0.7018267546854506,0.39361702127659576,-2.4096306950740627,-0.006408592274133145,0.48641655886157825,1.3550469618732477,0.3284671532846715,0.20450057916696798,0.35446313065976714,0.6614316957136721,0.46292585170340683,-0.04340713249787986,0.6455368693402329,0.0129366106080207,0,0.0129366106080207,1.462,69.8,-0.2916666666666667,72,267,0.7101063829787234,368,0.9787234042553191,1075,2.8590425531914896,0.18351063829787234,0.609375,0.855903265664955,0.4152652005174644,34.372999575307176,0.04446701109354098,134,773,1.084407296700286,0.39215686274509803,24.022121523993953,0.07850366511109134,0.45132743362831856,0.7858178546499187,0.3770949720670391,-2.7237590028267626,-0.007608265371024476,0.528023598820059,1.2710773654295688,0.26605504587155965,24.022121523993953,0.06770101008984399,0.3215339233038348,0.7524404309895928,0.45652173913043476,0.0009400805622664045,0.6784660766961652,0.02359882005899705,0.0,0.02359882005899705,-1.319,71.8,-0.1111111111111111,63,0,0.9078212290502793,342,0.9553072625698324,965,2.695530726256983,0.2346368715083799,0.6976744186046512,0.8646827526221249,0.3952802359882006,15.191257258228536,0.022405984156679257,135,678
2006,Arizona,Big 12,1.2894895933660726,0.3074712643678161,11.122341241396574,0.03196075069366832,0.5858585858585859,0.7846588543047616,0.31063829787234043,-38.797807131669124,-0.16509705162412394,0.3956228956228956,1.466323208444338,0.22950819672131148,0.029048021545805713,0.4107744107744108,0.8417626382811185,0.38571428571428573,-0.09790460046009304,0.5892255892255892,0.021885521885521887,0,0.021885521885521887,1.471,69.0,-0.1590909090909091,44,204,0.8680851063829788,172,0.7319148936170212,411,1.7485106382978723,0.2936170212765957,0.6538461538461539,1.0248798735122195,0.32154882154882153,-27.17889290385597,-0.04575571195935349,115,594,1.1997522028438647,0.42424242424242425,53.45465853998718,0.17998201528615212,0.4852941176470588,0.718314015511226,0.3696369636963696,-27.2870066069353,-0.09005612741562806,0.4950980392156863,1.6168707519378687,0.32124352331606215,53.45465853998718,0.23438009786060396,0.315359477124183,0.6589254415873301,0.4486873508353222,-0.06339781530086637,0.684640522875817,0.021241830065359478,0.0,0.021241830065359478,-1.439,69.7,-0.11666666666666667,60,0,1.0165016501650166,264,0.8712871287128713,773,2.550825082508251,0.21782178217821782,0.696969696969697,0.8964958785542637,0.4084967320261438,18.671674276033556,0.030509271692865287,115,612
2006,Arizona State,Big 12,1.2909338475703098,0.39156626506024095,37.301464196464984,0.11235380782067765,0.44148936170212766,0.7037000002196484,0.43137254901960786,10.297560150701305,0.025239118016424766,0.5425531914893617,1.6500929124269215,0.291497975708502,0.1929522140857465,0.32845744680851063,0.7034026428692248,0.4871287128712871,0.0002197368034775307,0.6715425531914894,0.018617021276595744,0,0.018617021276595744,1.498,68.7,0.0,80,430,1.053921568627451,450,1.102941176470588,1316,3.224264705882353,0.17647058823529413,0.6818181818181818,0.9177476095615336,0.4228723404255319,47.770163964935534,0.06352415420869087,142,752,1.2717759699576832,0.3370473537604457,8.456195303171098,0.023554861568721722,0.5077793493635078,0.7745371393850787,0.39349112426035504,11.885311872280974,0.03516364459254726,0.4780763790664781,1.5187220984176018,0.28205128205128205,8.456195303171098,0.18116808225627357,0.38613861386138615,0.7329008314419729,0.4308755760368664,-0.07378261319309094,0.6138613861386139,0.021216407355021217,0.0,0.021216407355021217,-1.263,71.8,-0.11864406779661017,59,0,1.1715976331360947,355,1.0502958579881656,951,2.8127218934911244,0.22189349112426035,0.8333333333333334,0.9620987009765313,0.3734087694483734,17.437232330161212,0.024663694950723073,144,707
2006,Arkansas,SEC,1.2200608531100074,0.3471698113207547,-6.786777486759567,-0.025610481082111572,0.35956580732700133,0.8510429668649707,0.4068522483940043,12.444898483276576,0.026648604889243206,0.6336499321573948,1.4956810633245428,0.2813852813852814,0.08220726492604577,0.31343283582089554,0.7779315838580682,0.43873517786561267,-0.03429928588790173,0.6865671641791045,0.024423337856173677,0,0.024423337856173677,1.693,66.2,-0.07692307692307693,91,670,1.4346895074946466,561,1.2012847965738758,1415,3.0291220556745184,0.1948608137044968,0.6818181818181818,0.9404880861762592,0.3894165535956581,1.6344395386382953,0.0022176927254250953,153,737,1.2243072248898752,0.30676328502415456,-23.663824014561083,-0.05715899520425382,0.5130111524163569,0.8985359033307012,0.3324538258575198,-13.033685899469285,-0.034389672557966454,0.46964064436183395,1.4690641420994857,0.2645161290322581,-23.663824014561083,0.09387193293516563,0.38413878562577447,0.8196477412006883,0.3682092555331992,-0.1362048740303215,0.6158612143742255,0.01982651796778191,0.0,0.01982651796778191,-1.239,73.1,-0.09722222222222222,72,0,0.9076517150395779,359,0.9472295514511874,846,2.2311345646437997,0.24010554089709762,0.7954545454545454,1.0205992312901275,0.32837670384138784,-38.593523183168436,-0.047823448801943544,160,807
2006,Arkansas State,Sun Belt,0.9726624983846163,0.32075471698113206,-8.058119728328515,-0.07601999743706146,0.4092664092664093,0.7408003571803585,0.42,3.9836555490582857,0.026557703660388572,0.5791505791505791,1.2865851384748386,0.27586206896551724,0.10815365639552968,0.3359073359073359,0.6235242084286192,0.4418604651162791,-0.08697032889040505,0.6640926640926641,0.05791505791505792,0,0.05791505791505792,0.943,77.3,0.0,16,105,0.7,154,1.0266666666666666,401,2.672,0.22666666666666666,0.6666666666666666,0.7826588316397118,0.3861003861003861,-5.549528462738588,-0.02142675082138451,47,259,1.6737958323991546,0.34831460674157305,-2.2175951869476607,-0.0249167998533445,0.40454545454545454,0.726184283256535,0.4274193548387097,9.328513894867804,0.07522995076506295,0.5636363636363636,1.3236138189061828,0.34375,-2.2175951869476607,0.25005817728697416,0.2909090909090909,0.8140755962708308,0.4423076923076923,-0.08959950190251928,0.7090909090909091,0.08636363636363636,0.0,0.08636363636363636,-1.958,62.4,-0.2413793103448276,29,0,1.2741935483870968,143,1.153225806451613,402,3.2395161290322583,0.16129032258064516,0.7142857142857143,0.937260661083773,0.41363636363636364,2.0262010495733387,0.009210004770787903,46,220
2006,Army,American Athletic,0.9459887106241068,0.3861003861003861,-16.139674509127122,-0.06231534559508541,0.4473229706390328,0.6915795949677412,0.3954983922829582,-10.073335966890914,-0.03239014780350776,0.5371329879101899,1.3110845072862258,0.30601092896174864,0.13979830487926864,0.3160621761658031,0.5988578550771878,0.44191919191919193,-0.138534834746913,0.6839378238341969,0.04145077720207254,0,0.04145077720207254,1.882,63.1,-0.12280701754385964,57,203,0.6527331189710611,283,0.909967845659164,858,2.7594855305466237,0.22508038585209003,0.7073170731707317,0.7715188616733182,0.39896373056994816,-29.276704766871386,-0.0505642569376017,115,579,1.078470295234102,0.44761904761904764,42.783884419891955,0.20373278295186648,0.34539473684210525,0.7003569446148847,0.44783715012722647,18.259493054397513,0.04646181438777994,0.6463815789473685,1.4656279441451423,0.3010752688172043,42.783884419891955,0.20012007549853972,0.3059210526315789,0.6376074981502664,0.518957345971564,0.049510000934530986,0.694078947368421,0.006578947368421052,0.0,0.006578947368421052,-1.752,65.4,-0.4117647058823529,68,0,0.6844783715012722,440,1.1195928753180662,1258,3.2,0.17048346055979643,0.7142857142857143,0.806222570789223,0.45230263157894735,58.115554437100464,0.09558479348207313,108,608
2006,Auburn,SEC,1.270071148443867,0.40390879478827363,46.639655893417995,0.15192070323588924,0.410427807486631,0.7502298040830342,0.40380047505938244,5.39616977103314,0.012817505394378004,0.5628342245989305,1.4037277072988619,0.36099585062240663,0.26589277570463116,0.32219251336898397,0.6932858565918638,0.4477317554240631,-0.03465882130210298,0.6778074866310161,0.013368983957219251,0,0.013368983957219251,1.558,68.5,-0.09333333333333334,75,416,0.9881235154394299,440,1.0451306413301662,1209,2.8717339667458432,0.20665083135391923,0.6271186440677966,0.890128025418325,0.4197860962566845,46.5081365446499,0.06217665313455869,133,748,1.331082366745988,0.36712328767123287,37.290371244234166,0.10216540066913471,0.4685494223363286,0.734192304890733,0.40298507462686567,-2.470211779681919,-0.006144805422094325,0.5160462130937099,1.514789909861482,0.3153846153846154,37.290371244234166,0.2195155001999142,0.3337612323491656,0.7527972231546307,0.43352601156069365,-0.05396607850387902,0.6662387676508345,0.012836970474967908,0.0,0.012836970474967908,-1.112,74.2,0.0,54,0,0.9527363184079602,403,1.0024875621890548,1072,2.6676616915422886,0.21144278606965175,0.7045454545454546,0.9563262143922914,0.3940949935815148,29.06563530846448,0.037311470229094326,138,779
2006,Ball State,Mid-American,1.3631537126788864,0.37967914438502676,59.82358279588063,0.15995610373230115,0.5187239944521498,0.6250676676404219,0.34545454545454546,-47.042675079095474,-0.14255356084574386,0.4576976421636616,1.7201072918488736,0.31601731601731603,0.2928956681407026,0.32038834951456313,0.6988304765251379,0.40816326530612246,-0.11095837821455459,0.6796116504854369,0.015256588072122053,0,0.015256588072122053,1.447,70.2,-0.10144927536231885,69,317,0.9606060606060606,287,0.8696969696969697,752,2.28,0.30303030303030304,0.4782608695652174,0.9719191487545616,0.3786407766990291,13.289294015370546,0.018431753141984114,148,721,1.3059595825282888,0.43256997455470736,91.47533684788388,0.23276167136866127,0.48941469489414696,0.9138765468166594,0.36895674300254455,9.247299716676482,0.02353002472436764,0.48941469489414696,1.5196055331720975,0.31833910034602075,91.47533684788388,0.2737456137128207,0.35990037359900373,0.875299301940085,0.4649805447470817,0.027354767314677956,0.6400996264009963,0.0112079701120797,0.0,0.0112079701120797,-1.322,71.4,-0.08536585365853659,82,0,1.2264631043256997,447,1.1374045801526718,1030,2.621882951653944,0.27989821882951654,0.6153846153846154,1.0543813964214903,0.4122042341220423,93.17283276274965,0.11603092498474427,147,803
